mensagem,odio
USER USER USER ficor raivinha causa vampiro virgem kkkkkkkkkkkkkkkkkkkkkkkr meninha kkkkkkkkkkkkk,OFF
USER Tá motivo hahahahahah vcs dever vergonha cara bando mau caráter URL,OFF
rt USER viar chato,OFF
USER ladrão FDP mentiroso país graças cumpadr STF patinar cara população,OFF
USER Quién pidió la consulta Ah sí el mismo presidente y su partido Ridículos Mejor ponte trabajar en la CDMX sé responsable lo del Rébsamen y la L12 y luego promueves consulta ilegales HASHTAG,OFF
BURRO FALTOU USER BASICO LIVRO 7ª USER USER USER GUERRA MUNDIAL ESTUPIUSERZ USER USER USERVERIA POSTO USER PIJAMA USER CAMPO USER CONCENTRAÇÃO USER ASCHWITZ DURANTE USER REGIÃO NOÇÃO USERSSA ESTUPIUSERZ PROPRIA LIBEINAGEM USER EXPRESSÃO USERBILOIUSER,OFF
USER Tirando programa ar criticar vc Tá fazer propaganda Bolsonaro desgraçar,OFF
USER Vc ladrão ladrão roubar saúde criança Maldito,OFF
mulher nojentar,OFF
USER USER sério USER n escrever amiguinho estudo USER comportar fascista USER concordar apoiador agressivo concordar ídolo,OFF
USER vdd n causa criança desculpa pra expor preconceito pq n mobilizar pra ajudar milhar criança sofrer rua ent q família tóxico maltratar Pq galera n importar n importar criança jogar ódio pra USER n aceitar pessoa lgbt n aceitar pessoa diferente ficar comentar monte besteira usar criança arma pra atacar comercial,OFF
USER USER USER colocação ser preconceituoso,OFF
USER homolodor matar nazismo partido comunista Brasil China campo concentração vida seguir,OFF
USER USER USER USER USER rir praia namorada apanha 1 gajo tirar fotosque 1Perguntas perversão motivo artístico 2Criticas comportamento imoral 3Metes viola saco conta viste,OFF
USER USER Bobo baitolar bobalhão zé mané otario bananão pika fino soca fofo Rodrigo Faro 11 setembro cara nao curso cara lembrar JOGO,OFF
26032022 095726 Zé ruela bunda mole 26032022 100828 Mellyssa Maldonado Vc falar de ele hein FALEI KKKKKKKKKKKKKKKK ODIOOOOOO URL,OFF
sério gente medo sequestrar estuprar matar causa decadência moral intelectual histórico nazireacionaria assinar atestado óbito fazer ir ganhar dinheiro processar calúnia abuso autoridade fraude processual,OFF
USER USER horroroso ZZZZZZZZZzzzzzzzzzZZZZ AMEI USER DANDO INFINITOS LIKES,OFF
USER bom eh ve virgem xingar USER video,OFF
USER Heroína Conseguiu sair cérebro ileso escola pública petista,OFF
mau USER defender Tarado,OFF
Wtfkkkkkkkkkk,NOT
mendigo brincalhão carro vermelho branco USER dizer trocar soco mostrar apanhar Rapaz conhecer gente falar jeito verdade mentiroso existir pessoa virar mendigo conseguir relação pessoa problema papo de ele comover enganar achar dever respeitar moça casado marido de ela agir errar agredir enfim culpa coisa dever evitar falar entrevista,OFF
USER USER capella mt gostoso fodase,OFF
USER verme ambição crescer barriga f i l h d p u t n l r i c,OFF
deus q guri ridicular puta q parir odio,OFF
Cancelem canal criar outro canalNazismo Patrocinadores apoiem canal,OFF
D at First querer cabelo pq ciumento c bebê JJ achar q vc ir roubar eu roubar de ele vc pessoa maravilhoso conheci amer milhão,OFF
NAO FILHA PULTA KKKKKKKKKKK,OFF
vagabundar filha puta arrombar desgraçar etc,OFF
aff roubar falar,NOT
USER USER ficar putaputinha,OFF
cara ai vampiro brilhar sol caralhar q porra vampiro amar ta morto lobo depilar sentir frio viver camisa verdadeiro história lobo transformar lua cheio oq cara transformar hora q vc Felipe,OFF
caralho sonhar negocio q começar achar q série q ter assistir dai lembrar agr q SonhoKKKKKKKKKKKKKKKKKKKK mto bugar,NOT
USER nao gotsa chamar viar,OFF
N interesse melhorar Brasil interesse relativo preciso força n idiota trono,OFF
USER USER Souza ignorar praga provavelmente algum erro rg caixa pra sacar,OFF
moro jogar bhc boca ratazana senado USER,OFF
USER pra caralho ir levar serio alguem nome Roberta USER,OFF
primo palhaço jesusKJJKKKKKKKKKKKKK,OFF
USER feminista feio gordo Pagar peitinho passeata peludo odiar homem achar q diferença,OFF
USER Son puro rata hipocrito,OFF
apoiadore cara porra,OFF
USER traidor USER herói pra turma Parem idolatrar político pqp,OFF
USER USER USER USER vcs resumir eh ai lixo pessoa insuportável montar kkkkk,OFF
USER USER Reconsidere pedido caro Governador ideal extinguir lixo comunista masacarar cultura Governador faça arrepender 4 ano passar rapidooo,OFF
TOMAR CU BOLSONARO VEIO DESGRAÇADO CENSURA TWEET TAMBEM CORNO URL,OFF
INFERNO gostoso gravar Mingi daniel jackson triste vida mulher cis hétero achar boy lixo atraente,OFF
si le voy su regalo pero claro marico claro,OFF
pessoal conseguir entender contexto educação merda país específico período comparar outro período específico Brasil pra discutir dado período haver evolução pequeno ser evolução existir longo Brasil USER necessário avaliar dado evolução ter noção olhar pra educação bom olho,NOT
USER URL USER Vá foder Centrão antro saqueador cofr público nação brasileiro USER USER USER USER USER USER USER USER USER USER USER,OFF
USER esplanar éverton pra imprensa né papo interno ninguém precisar loco burro,OFF
Daqui defender pedófilo direito de eles expressar desejo sujo segue mesmo linha Existir coisa tratar opinião fato existir crime,OFF
USER USER ir transar 11 ano ser padre,OFF
canalha,OFF
fdp tar achar pra vir falar comigo porrar tô cara palhaça arrombar,OFF
cara ter assistir ta passar megapix bicho vampiro viadinho caraca,OFF
USER USER causa roubar brasileiro Lula ladrão ignorante,OFF
USER Pqp Vá pro quinto inferno Enéias ter razão Bandido bandido,OFF
BANDO HIPÓCRITAS DEFENDE USER MORAL CRITICAR USER USER USER,OFF
Johnson johnsonsssssss pq foder,OFF
USER mundo tbm USER lgbt pq assexuar,OFF
600 USER baita fofoqueira olhar jeito de ela observar pra falar costa fantasma porta tocaia discussão sumir 700,OFF
USER Covid calar calar governo passar verme tomar,OFF
ta foda neguinho ta fodaaaaaaa,OFF
USER Malas universidade pesimos profesor y peor política Opiniones carente honestidad son caracteristico intrínseco oportunista,OFF
ñ entender né vcs comunista acabar,OFF
USER q botar tag ridículo subir kkk,OFF
USER cara monstro psicopata delinquente defender criança menino indefe,OFF
USER USER tan idiota hechar enemigo al país Vecino eso y andar ayudar socialista,OFF
USER SPAR CARAI Deixar Jojo sair Larga doce JoJo,OFF
Mano n hoje dia estressante Briguei Fiquei triste mente perturbado Perdi amigosperdi Manoeu idiota,NOT
USER USER sentar vara gato baitolar,OFF
USER USER hamburgueria escola pai precisar hamburgueria pra educar filho pai vagabundo pai,OFF
cara dedo quente cu gelado bom vei rier pa caralho,OFF
USER pintar estar velho nao morrer USER contiinuar corrupto q comen mão Maia prender USER,OFF
USER ideia ruim depender ideia ora visão noção Monark tornar estuprador pessoa caráter duvidoso afinal permitir partido Nazista nazismo deixar crime Imagine discurso estupro defender partido estuprador defender saber automaticamente estupro ir deixar CRIME tornar pessoa desprezível noção afinal defender liberdade de eles fazer parar estuprar perder medo afinal CRIME né sofrer represália moral punir brincadeira consger enxergar absurdo falar USER estuprador merecedor represália desprezo consequência falar noção ir aparecer pra milhão pessoa,OFF
USER AMEM FILHO PUTA TAVA QUASE INDO FALA,OFF
USER aonde vcs estar incompetência parasita dinheiro público URL,OFF
USER alguém dê calar boca mendigo fuder chato caralho,OFF
ir ficar comentar retardado video tiktok,OFF
Kkkkkkkk cara maluco,OFF
Ave Maria ficor puta ler comentário Lorde bicha Twitter cafona,OFF
lacrar lucrar USER,OFF
diferença amor gostoso adiantar esbelto egoísta sexo esperar homem faça mulher gozar haver reciprocidade mesmo mulher egoísta cama,OFF
USER USER sãoMIL canalhasemboscar criancinha familia de esse criança parente gay resto haver Criança aprender seguir pai pai gay provavelmente ser ciclo natural coisa pleno dinheiro Familia USER jamais ter denovo,OFF
louco inveja lixo senhora USER chegar levar voadora,OFF
achar péssimo tom algotimo spoiler ENORME Bridgerton tomar cu,OFF
USER USER vir corno,OFF
KKKKKKKKK aprender escrever vir discutir,OFF
USER USER Roy cagao má bien tú eres el tienes chance salirte del pacto diabólico y ponga sembrar yuco rata alcantarill,OFF
USER taylor dar costa pra selena pra andar gente vaca interesseiro ser contrário swiftie ir cair matar,OFF
27053a ucrânio mistureba grupo interesse diferente situação continuar continuar pra afetar geopolítica região vazar plano sionista relembrar khazaria porra recentemente vazar plano moedinho polônia ingrato pra reconhecer polaco abrigar durante século,OFF
USER mtt arrogante USER,OFF
USER mlk maluco arrombado mental namoral,OFF
prova professora Geografia 3 ano prova de ela difícel mano foder,OFF
USER falar nazismo tabu USER matar cerca 20 40 milhão soviético gente falar USER matar hipócrita ficar caladinho USER abrir boca mundo cancelar nome USER,OFF
fumador Droguinhas apresentar Flow bêbado chapado começar falar bosta,OFF
organização pra cabo nazismo exército vermelho soviético esqueçam ir matar nazista novamente Abram olho,OFF
USER USER USER Mano fuder some de aqui peste ir cigarro whisky tbm fdp,OFF
incrível pessoa gnt odiar música pqp,OFF
USER tar acompanhar USER Carvalho Falfa USER flow ai foda,OFF
USER falar B0st4 gritar igual maluco totalmente noção,OFF
globo lixoooo,OFF
USER bando canalha,OFF
USER vagabundo ladrão roubar Petrobrás hj pagar,OFF
risada se USER Rir cagada alheio bom,OFF
canal USER fala explicar requinte detalhe dizer andar passo girar 360 grau etc sinal mentira pra eu aproveitar carência mulher ganhar lábia hoje arrependa fato assumir conquistar carência foda,OFF
audio péssimo Léo,NOT
USER Ladrão Canalha,OFF
USER assistir fazenda querer comparar Jojo karol sacanagem,OFF
USER Silva USER maconha atrofiar cérebro Monark,OFF
USER USER ate enganar ludibriar manipular hoje dia tar cordo presidente lixo USER sustentar lixo pior lixo,OFF
USER USER começar falar processo racista ces sao cego,OFF
USER completo imbecil USER,OFF
sair chuva pra atender noção ah foder porra URL,OFF
USER odeiar mendigo único verdade,OFF
USER Pero payasa la ridículo puso eso poster acaso es Esa Mujer la casado,OFF
USER libertador paulista 30 porcaria campeonato atrapalhar,OFF
tô saúde tbm show Jão Doja Miley tô chegar rar fazer idiota canto pensar querer ver show vivo pular gritar sujar barro,OFF
preciso dormir mds ansiedade odeior,NOT
mulher chato Deus livreThaíse insuportável,OFF
pero cuál es el odioooo qué Bloqueaaaas JAJAJAJAJJAJAJAJAJJA,OFF
USER achar mandar mundo poupe querer mandar vida pareçe louco doir morar pessoa aguentar 2 dia,OFF
USER acabar engolir língua tomar USER achar de ela baba ovo acordar mulherzinho otário achar tar morro de ela ah USER,OFF
USER andar burro,OFF
misto quente falar merda URL,OFF
USER monstro matar filha vdd USER tar fechado pra,OFF
USER canalhice insignificante figurar trabalhar prol elegeur perca perder ação progredir Amapá precisar político trabalhar benefício benefício,OFF
lunático seguidor lamentável pandemia aonde morrer tanto lunático ver oque mundo passar,OFF
USER Mamsmwkwkwkwkakw odeior,OFF
USER USER pena gente cabeço ovo estar perder entrar dislike video gente aceitar USER bom nenhum boicote ridículo whats mudar gay ninguém mudar encher USER dislikes mudar vida ninguém USER cabeça viver vida ta chato historia agir fossemos evitar esconder gay interferir vida ninguém par,OFF
manar gay trans etc problema criança USER dever questão relacionar sexualidade dever respeitar pqp,OFF
canal dever banir ar,OFF
USER tapa cara USER homem livre ir evento sequer importunar vergonha aceitar blindagem fazer em ele,OFF
USER lei d merda prisão perpétuo,OFF
USER USER Aparecer aproveitador clique ser q turma clareamento anal,OFF
USER USER vc gostar futebol gostar mamar político outro,OFF
USER Dice Clau la constitución Le importar 3 hectárea camote la ley hizo romperse y ella hablar lo quierar sus pinches tamaños Pero eso si enciende auto el día circula y caer el peso la justicia maldito delincuente,OFF
corpo ridículo ir emagrecer bom,OFF
USER USER USER CULPA TAMBEM USER VOCES ESQUERDISTAS USER USER LUBERDAUSER USER ESCOLHER PRESIUSERNTE pAÍS,OFF
merda,OFF
USER paso decirte Imbecil,OFF
USER fode porra lindo Caralhooo Deixa mongoloide,OFF
ah bolsonaro tomar cu moral homem infernal facar de adaaae,OFF
presidente prometer acabar beijo gay Globoolha boticário comercial natura burg USER época PT,OFF
odeiar ts3 nao ficar hora distradinha jogar porra nao salvar,OFF
USER burrao pra olhar,OFF
abjeto matar rapaz covardemente dever enjaular banir definitivamente convívio humano URL,OFF
USER vida ta merda falar vida simples vagabundo crescer olho atividar,OFF
USER Estados USER rampa colônia Estados USER presidente IDIOTA,OFF
Incrível pessoa conseguir cagar né flow causa maconheiro alcoólatra,OFF
tadinho olhar cara cachorro mano kkkkkkk,NOT
Vou tirar foto cara chifrar oportunidade expusera rede nacional ODEIO CORNO URL,OFF
Odeiooooo falar coisa fiz tnc,OFF
JUEPUTA TUVE AL PUCHITO FRENTE MARICA,OFF
parecer morador rua sinceramente formar Portugues concertezar ate pq Bixin falar ver,OFF
62922não entendi merda ciume querer falar algum gíria regional putaria,OFF
globo criar monstro,OFF
cara ficar marcar besteira ser criticar deixar manchar imagem empresa desligar flow escolha correto empresa,OFF
corno tar puto,OFF
preconceituoso merda continuar Boticário,OFF
USER USER emissora medíocre deixar presidente terminar mandato paz,OFF
vaga CTI respirador tanto idiota falar Políticafalo vida morte,OFF
fazer lógico justificar esfaquear covarde USER né gente olhar tratar mulher,OFF
comercial LIXO lixo lixo lixo,OFF
safadeza senhor PESSOA MOA PAULADAS safadeza senhora PAI ESFAQUEAR CRIANÇA 8 ANOS FATO DELE LAVAR USER safadeza senhoraa resposta nãoa criança ser ensinar respeitarai ninguém obrigar,OFF
USER USER falar bolsominion arrepender,OFF
USER Ter USER Flows Sair Pior causa Erro Desgraçado piorr Lembrado Apoiadora Naz Odiado Ódio Direcionar Amigos Convidados Compareceram USER Imagem Flow USER USER Apresentar idéia USER USER Apologia Naz USER,OFF
gente USER levar belo pra cama descobrer belo gravida engravidar USER morto produzir esperma Fecundala,OFF
USER USER querer falar Deus tentar pregar algum rainha chatisse,OFF
gente plmds par falar obesidade de ela mds cara oq assistir vídeo ficar comentar saúde de ela plmds USER USER avisar gente n USER USER oq mds Aprendam oq,OFF
USER USER cara vídeo rodar tô metade vídeo tar estranho articular morador rua inocente USER galera filmagem cara bater outro sair pelar carro pq tar dar entrevista caramba carro branco vídeo incoerência deixar muito dúvida Ah cara sair pra vereador jeito emotivo romântico falar conquista idiota comentário,OFF
culpa cachorra karina vagabunda URL,OFF
USER diferença 2018 sentimento antir PT gigante graças péssimo governo desgraçado PT ganhar força salvar família bandido tabela ajudar Lula velho ladrão 9 dedo voltar sentimento vinganca,OFF
tomar q vc aliste passar va pra guerra vagabundo caralho,OFF
USER PIRATAS CACETE AKSKDKDJJDJDJJXJSJSJSK,OFF
USER coitado Senta processo em este parasita Faculdade,OFF
noção Jojo pensar oqueque dona razão casa gritar participante Sai pra barraqueira ta falar negar bonito medo de ela po USER botar pilha coragem encarar drama vazar colega,OFF
USER USER lindo jeito USER importante aceitar feliz mundo ta cheio mente podre ai,OFF
USER ta minion razão kkk ir discutir humano referi,OFF
gente coitar realmente burro pena,OFF
Burro,OFF
odieeeique cara graça,OFF
vergonha imaginar filho falar,OFF
USER propaganda Maiis lixo,OFF
USER USER USER Kkkkkkkkkkkkkkkk machinho escrotar vc filho n fazer pessoa babaca fácil falar p mãe virar pai mãe erro macho mandar virar homem assumir responsabilidade poupar banana,OFF
q nojentar temo filho nao querer q,OFF
ja comeu cu msm difícil achar precioso kkkkkk URL,OFF
USER USER hoje lance vc falar Vagabundo volta matar acertar costa melhor engolir sapo pra casa,OFF
pessoa deixar escapar pessoa caso sorte vida motivo idiota ai caso,OFF
USER mentir USER público brasileira desserviço estrutura escola medíocr dinâmica terrível ambiente deixar entediado empolgado laboratório ciência pra aplicar disciplina decência colégio,OFF
pra USER se fuder Bolsonaro,OFF
Convidem brasileiro judeu escapar nazismo,NOT
rt USER desentendir pra cara pau,OFF
virar briga casal diga de esse dupla most likely queercoded q age gap fuder,OFF
USER Lo ha hecho es el ridículo dicha reunión ya podía hacer lo ya han hecho en Europa Pero claro si baja los,OFF
lindo USER,NOT
USER VIDA PEIDO CAPETA USER,OFF
USER cagada falar USER USER racista falar tema sensível Ser USER ter mantêlo flow afastar período,OFF
rt USER coitar mina q bunda reduzir kkkkkkkk URL,OFF
USER USER USER USER USER MEDO USER USER USER USER USER TAO USER USER USERO USER FALANDO USER USERUS ONUSER USERUSERO USER ENFATIZA USERNAO USER NOME USER USERUS USER PARECEU USER USER,OFF
USER fã Arthur pessoa q dever Twitter criança velho q ficar cegueira bunda mole mimizento Arthur,OFF
USER ADOREI olhar retardar virgem pensamento gritar Jacob camisa USER USER,OFF
menina odiar menininho odiar filme merda USER achar merda digno filme Cara foda,OFF
psicopata suicida louco bipolar aff,OFF
USER USER Carai kkk,NOT
ir avisar ir mandar tomar cu mundo vier falar preferer,OFF
USER USER USER USER imbecil Pablo votar apoiar ditador Mula Mula odeiar democracia LGBT saber corrupção injustiço cúmplice URL,OFF
USER matar Nazismo né professor,NOT
youtubecomwatchvoNRGPfSyo7Y USER dabate pedofilia,NOT
USER burro ir deixar ferida expor,OFF
gnt to sururu caralho hoje,OFF
to seca pqp,OFF
Ridícula Exagerar,OFF
USER anarquizar barbarizar dominar bichona deitar,OFF
ai liberdade expressão voce nao censurar punir acordo merda USER dizer apoiar liberdade USER acompanhor video jogo claro USER nazista errar feio querer expor ideia USER comentei vario podcast aonde USER USER dizer merda estar chapado bebado hora ir ruim infelizmente USER dar,OFF
USER USER Boiolice nojo,OFF
leitura outside Cara merda política algum cargo eletivo política,OFF
USER jovem merda,OFF
Literalmente existir merda Partido USER Brasil 1962 USER falar,OFF
rt USER puto parir papai URL,NOT
matar pai liberar pra comemorar dia pai outro matar filha liberar pra comemorar dia criança USER lei vergonha cara USER matar namorada liberar pra comemorar dia namorado País podre lixo,OFF
USER MULHER FODA DEVERIA PRA MULHERES MUNDO URL,NOT
porraaaaaaaa tomar cu caralho URL,OFF
USER USER USER DEUSA PRA CARALHOOOO VENCEU AMOR,NOT
USER Ve chingar madre perrar violador la ley Es má elncaco acompañar ya encantar Lamerle el escroto,OFF
hahahhahahahh ehr foda,NOT
Lollapalooza arrombar,OFF
criança aprender limpar rabo opinar aliás opinar ler texto podre criar,OFF
vídeo certo piada nenhum fundamento relativamente á historia personalidade aspecto vampiro lobisomem relativo existir centena historia USER vampiro lobisomem diferente mesmo comparar Van USER Underworld bocado estúpido dizer,OFF
USER USER chamar corrupto kkkkkkk vc desprovido massa encefálico,OFF
Oh deus moço achar brasileiro besta eleger pessoa acabar dignidade justiça brasileiro economia ajudar eleger mau presidente país,OFF
odioooo,NOT
FUDER ODEIO POBRE QJERIA LOLLA,OFF
culpa gente precioso aceitação pessoa gordo preguiça usas palavra pra,OFF
USER Jornaleco lixo cantora benga perna,OFF
USER TI FODER,OFF
USER comentario gente babaca pingo empatia expor mulher jeito cara babaca expor mulher dizer babaca meter em ele expor ser mulher cara falar babaca palhaço chamar cara deputado,OFF
USER USER vcs foder ficar vivo pra viver merda vcs kkkk fodar,OFF
tiro PEITO USER Puta de esse responsável USER USER esperar USER divino cobrar preço oque acontecer,OFF
globolixo tomar vergonha cara,OFF
HASHTAG volta edição ninguem perder trolar pastor ladrão Brasil USER,OFF
USER CORNO PASSAR POA,OFF
vc beber falar besteira USER colocar preconceito vc,NOT
crueldade descaso acaso ver desastr bando canalha governo federal dignidade aposta pauta moral haver moralidade dignidade URL,OFF
USER atriz meia tigela USER Carlinhos USER,OFF
Sofia vergar loira dnv vey to fanficando q evelyn hugo ai ir tomar cu pq ñ URL,OFF
problema aparentemente problema mental,OFF
conversa amigo ser gravar pegar pena morte mau kk,NOT
USER URGENTE jovem Brasil falar pai traveco apoiar Lula,OFF
USER merecer merda USER USER hora,OFF
USER El puto amar,OFF
estar bêbar ter chegar babaca merda putaquiparir,OFF
USER USER USER USER USER mandamento sedimentação moral cristã conduzir ação dia dia matar ng amigo matar convém matar tô afim Jesus voltar pra salvar mundo pecado homem ver cometer pra cacete,OFF
q mãe de ele morrer virgem kkkkkkkkkkkkkkkkkkkk mega fail,OFF
Achar mandar gente engolir seco respor Gente noção kkkkk URL,OFF
adiantar tirar título tirar Bozo votar outro abjeto bandido Ser progressista votar candidato progressista ser ladrão Ser conservador votar candidato conservador ser ladrão,OFF
USER USER vampiro vampiro kkkkk Sam ridiculoo haha,OFF
USER USER vida peito capeta,OFF
pegar pesar errar feio leve trabalho sério vá sóbrio partido nazista Brasil merda dizer ano,OFF
USER USER USER USER USER USER USER CHOLA USER USER USER FAMÍLIA USER USER USER,OFF
covardia enorme criança,NOT
gente simplesmente sumir desaparecer ir pra puta q parir tbem,OFF
filme péssimo,NOT
odeior sofia puta vagabundo,OFF
talento bolsonaro pra flexão pra finge galera finger acreditar puxasaco,OFF
gente juíza incompetente,OFF
USER USER Devolve Bilhão vc filho roubar ganhar Lula ladrão,OFF
Mano gostar ser ignorante mar pra casa caralho,OFF
USER USER SO BURRA PERDÃO VO APAGA NGM AVISA CARAIO TBM,OFF
USER POLÍTICOS CORRUTOS DEVERIAM APODRECER CADEIA CAUSA DELES mORREM MILHARES PESSOAS RECURSOS,OFF
USER personalidade falar ensaiar robô,OFF
FICO PERGUNTANDO Q MERDA PESSOA CABEÇA PRA VOLTAR PRA RELACIONAMENTO FUDIDO PQP FICO INDIGNADA Q EXISTE MINA TROUXA QUERIA Q ENTENDESSEM MERDA RELACIONAMENTO Q PESSOA LIXO DELAS,OFF
USER Caralho mano ir mandar tomar cu ai lembrar meme sangue subir olhar siger vc tt Iza,OFF
achar foda antigo óculos Joinha,NOT
USER USER صناع الوهم,NOT
USER Marra salier decir banca lo indulto lo genocida Morales puedir hablar 500 vece más hasta Las eleccione y v,OFF
USER Si pendejor hipocrito despues politizaste la sangre venis pesame mierda sos tato enseño,OFF
USER USER USER USER PEDIR DESCULPAS HIENAS SEDENTAS SANGUE,OFF
pra vagabundagem corrupto,OFF
david pq vc ser baitola saber vc merdinha,OFF
USER USER concordar merda saidinha,OFF
Palhaçada tá ar desrespeitar burgue King ser governo digno tirar país,OFF
acontecer parecido tirar bebia droga programa ate pra convidado levar sério trablho acontecer outro maluco,OFF
render cancelamento triste Ficar cara USER saber gravidade dizer infelizmente falar merda absurdo puro ignorância enfim esquerdista pedir bala cova caixão ocorrer falar bêbado deixar claro morte liberdade expressão Triste,OFF
fodase,OFF
USER kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk retardado achar,OFF
USER perfeito muito lindo,NOT
USER mandar acreditar trabalho bebida droga USER soltar merda de esse culpa droga deixar Vê acordar mudar vida nazista claro USER ser cara conhecedor profundo cenário cancelamento cometer erro bom falar ter estudar assunto infelizmente,OFF
USER USER lixo USER,OFF
USER fdp vagabundo começar campanha 2018 continuar durante mandato Bozo descer palanque reclamar artista fala próLula tomar cu miliciano,OFF
USER USER USER elogiar mãe porrar,OFF
USER USER USER USER USER Irmão CEO flamengo dono Memphis Grizzlies Swansea City Inglaterra cara dinheiro falar mão vaca pobre tar marola dizer org BR dinheiro q cara kk,NOT
camilly sumir puta vagabundo arrombar mundrunga,OFF
USER tejar resumir video q mto vao morrer covid19 video nao fã aglomerar pergunta USER afinal alem dinheiromorte pessoa conhecer,OFF
USER USER Bolsonaro pra Trazer novamente ladrão 171 país Lula gangue afundar país lama assaltar depenar cofr público estatal esquema multibilionário Mensalão Petrolão Eletrolão Correios Pré Sal BNDES URL,OFF
USER Ridículo el capi,OFF
USER USER USERUSER USER USERUSER USER USERUSER USER USERUSER USER USERUSER USER USERUSER USER USERUSER USER USERUSER USER USERUSER USER USERUSER USER USERUSER USER USERUSER USER USERUSER USER USERUSER USER USERUSER USER USERUSER USER USERUSER USER USERUSER USER USERUSER USER USERUSER USER USERUSER USER USERUSER USER USERUSER USER USERUSER USER USERUSER USER USERUSER USER USER,OFF
USER USER Ficou putinha,OFF
porra físico URL,OFF
cidadão comum tiro opinião diferente USER Vítima arma pra defender Brasil,NOT
soy del inutil sirvo ejemplo,OFF
USER USER ai foda,OFF
Jumento psicopata rebanho,OFF
acabar pra vc USER,NOT
porra sapatão pg conhecer loco,OFF
USER pqp,OFF
USER errar errar apreender USER ferrar estúdio flow ignorância,OFF
KUCINGNYA CU BANHET SAYANG DY TAKUT MANUSYA,OFF
USER pra vcs ver representar atraso q pt deixar Brasil cair pata gentinha,OFF
Lembrese USER judeu querer raça puro ser loiro olho azul ir morrer,OFF
ninguém estar viver hospício fuder mundo guerra guerra dúvida idiota ser guerra tomar reação agressivo quiser matar ir perdoar nenhum Venham,OFF
USER USER USER USER dinheiro roubar Petrobrás ótario ACORDEM,OFF
candidatar senador país merda palhaço entrar pra política,OFF
USER USER USER fazer besteira expulsar expulsar Bianca,NOT
USER 2 BOCAS USER KKKK precisar USER odiar algum USER dar nazismo mau cego aUSERuele USER USERuer enxergar,NOT
elogiar nao perdoei FODER cabeça,OFF
USER Larga mão imbecil Vc achar continuar ignorante pra vcs manipular qto quiser Vc achar mmo q bos Power point mentiroso aceitar conhecer Lula Vcs querer anular Lula pra continuar corrupção Vcs CORRUPTOS,OFF
USER Sai calopsita falar comigo pq to puta contigo ficar jogar praga eu cara pau trocar escola,OFF
convidado foda Explicou USER USER absorver entao lascar,OFF
USER kkkkkkkkkkkkkkkkkkkkkkkk caralho leticiar nois idiota igual,OFF
USER USER USER USER USER achar q gente q demente kkkk,OFF
gordura visceral mau existea gordura visceral matar,NOT
Amei video USER maravilhosaeu vergonha fucar nu pro maridãoe USER liga pra issovaler,NOT
MAE CHAMOU MACACA SAIU QUAO SKSKKSKSKSKSJDL Q ODIO VSFD,OFF
USER Ya vete al aeropuerto hoy y deja mamar palo,OFF
USER sair escrever bosta escrever orgulho nao vir porra,OFF
USER USER MÃE RETADA USER,OFF
bando oportunista Educação entender estar preciso sugar URL,OFF
USER USER USER USER meh bgl adolescente bando jovenzinho mongol hora ver gente adolescente trans mudar sexo dps arrepender Adolescente merda bro nn culpa BOLSONARO cultural arrombar,OFF
PUTA USER USER,OFF
dáí igual chuchu sal graça Versão feminino Mc Gui,OFF
Lixo propaganda,OFF
USER viar tbm,OFF
cara doidim doido dar kkk,OFF
USER vc feio pra caramba,OFF
Lixo empresa Bando filho puta,OFF
Cascalho malucoUSER cara Edwardso bronzeado uhu,NOT
rt USER amigo vcs mandar indireto cara pau kkkkkkkkkkkkkkkkkkkkk auge URL,OFF
USER fodase ngm ti USER,OFF
eduard corno vear,OFF
nao precisar estudar caso fato Matoutem cumprir cumprir progressão putaria lei Brasil,OFF
USER saiar flow pra eu tar suave Empresa pessoa foda,OFF
USER ESTUPRO FAZENDA ESTUPRO RECORD,OFF
USER USER desgraça pra sociedade família tradicional USER comprar USER espelunca,OFF
USER Sr Geraldo imaginar q vc poder lixo humano mentiroso CRAPULA,OFF
JAJAJAJAJAJAJAJAJA si fue alto ridicular la Doja Cat URL,OFF
HASHTAG tar putinho pq acabar mamata lei Rouanet Tá ter trabalhar né vagabundo,OFF
Absurdo USER dar palco pra idio nojo,OFF
USER ignorante imaturo,OFF
USER be happy Vejo vc problema mental respeitar criança contrario contravenção penal puner acordo lei,OFF
USER USER USER caralho q maluco nojento ser gremista mandar pra casa caralho fácil fácil ingratidão absurdo asco,OFF
USER Vinheta BeijaFlor 2022 USER MOCAMBO CRIOULO RAÇA MORDAÇA CALOU ER,NOT
USER USER objetivo benefício Contaminar criança Matar crianca criança contaminar avó pra economizar previdência pra diabo servir,OFF
ter defender nazismo Cara literalmente falar dever existir partido nazista direito nazista questionar existencia pessoa foder pô,OFF
ir matar erick ficar fazer porra olho mandar foto cacete kkkkkkkk,OFF
viver nababescamente custa proteger ladrão bandido HASHTAG,OFF
Fazte homem porco caralho,OFF
alguém descobrir sair adolescente pagar pau pra mc força rouquidão voz pra fechar portão,OFF
USER USER idiota KAKDKAKDKKSKDKSKDKS,OFF
vergonha presidente República passar imã moldagem Tenha vergonha Sr BOLSONARO,OFF
olhar cantinho quadro amar bichinha explicar merecer cara lindica mundo reagir genuíno mia joia raro URL,OFF
